Rng Run, Number of Flows, Throughput [bps],, Tx Packets,, Rx Packets,, Lost Packets,, Lost Ratio [%],, PHY Tx Packets,, Useful Traffic Ratio [%],,E2E Delay Min [ms],, E2E Delay Max [ms],, E2E Delay Average [ms],, E2E Delay Median Estimate [ms],, E2E Delay Jitter [ms],, Sim. Duration
, , all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg  , all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg  , all flows avg, all packets avg, all packets avg, all packets avg, [min], [day hour min sec]
93,10,2740.03,27378.2,488,4880,333.6,3336,154.4,1544,31.6393,31.6393,,14159,,1.13933,2.03177,0.870367,2167.61,4480.87,35.1459,30.2612,3.24,2.85,180.138,193.71,74.7639,0d 1h 14m 45s
94,10,1999.95,19985.5,488,4880,243.5,2435,244.5,2445,50.1025,50.1025,,57866,,1.10528,2.51599,0.870922,1846.36,3093.95,52.6146,42.0265,5.3,4.75,200.657,196.878,75.6812,0d 1h 15m 40s
95,10,2101.77,20997,488,4880,255.9,2559,232.1,2321,47.5615,47.5615,,39792,,1.16109,2.3223,1.83814,2364.57,4009.92,47.0053,45.5956,4.5,4.75,213.49,233.783,71.4158,0d 1h 11m 24s
96,10,2624.2,26218.7,488,4880,319.5,3195,168.5,1685,34.5287,34.5287,,54970,,1.17061,2.12636,0.848981,1701.13,5818.95,30.3465,26.3219,3.085,2.85,146.931,194.947,72.0647,0d 1h 12m 3s
97,10,1461.97,14611.5,488,4880,178,1780,310,3100,63.5246,63.5246,,25692,,1.03754,3.28978,1.83835,2948.36,4799.25,105.938,92.2008,9.715,5.75,378.1,399.854,79.6997,0d 1h 19m 41s
98,10,2082.9,20809.3,488,4880,253.6,2536,234.4,2344,48.0328,48.0328,,4701,,1.1281,2.80579,0.871363,1563.29,3582.2,35.6357,32.7439,5.72,4.75,144.735,158.83,74.0385,0d 1h 14m 2s
99,10,2341.66,23397.8,488,4880,285.1,2851,202.9,2029,41.5779,41.5779,,48282,,1.14278,2.22572,0.870149,1476.37,3643.72,27.4395,24.9933,3.52,2.85,126.311,156.204,72.4184,0d 1h 12m 25s
100,10,2498.53,24963.9,488,4880,304.2,3042,183.8,1838,37.6639,37.6639,,25075,,1.10307,2.22572,0.870861,2564.37,9361.65,33.4778,30.9588,3.51,3.75,190.018,241.236,77.0428,0d 1h 17m 2s
101,10,2108.39,21065.3,488,4880,256.7,2567,231.3,2313,47.3975,47.3975,,65299,,1.10482,2.61253,0.871591,1783,4124.92,32.2761,30.9318,4.32,4.75,155.274,192.174,75.8692,0d 1h 15m 52s
102,10,2069.8,20682.7,488,4880,252,2520,236,2360,48.3607,48.3607,,3783,,1.11784,2.80607,1.83844,1825,3631.51,41.2093,40.1101,4.855,4.75,167.309,187.702,73.91,0d 1h 13m 54s
